;Бланк заказа ООО ИКЦ КОНТРАКТ на 25.05.17;;;;;Сумма;4;Общий заказ;;Итого со скидкой;;;;;;;;
;121596, г.Москва, ул. Говорова, 6. Тел. 448-3794,447-4115 ;;;;;0р.;0;Вес, кГ;0;0р.;;;;;;;;
;e-mail: kontrakt@kontrakt.ru    http://www.kontrakt.ru;;;;;;0;Объём, м3;0,0;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;Aphrodite  Греция;;;;;Базовая скидка;35%;;;Скидка по бренду;35%;;;;;;;
;;;;;;Сумма заказа по бренду;0р.;;;Сумма по бренду;0р.;;;;;;;
Код;Фото;"Артикул
Наименование 
Штрихкод";Артикул;Вес шт., Кг;Объём шт., см3;Штрихкод;Остаток;"РРЦ*,
 руб./шт.";Цена;Заказ шт.; Сумма ;Срок годности;;Описание;Состав;;;
;Aphrodite;Уход за лицом;;;;;;;;;;;;;;;;
6114/0;;"Z-17
Защитный крем для лица, SPF 30 50 мл
5200393881469";Z-17;0,1;352;5200393881469;0;1 399р.;909р.;; - ;;;Активно увлажняет, защищает от преждевременного старения кожи и вредных UVA и UVB солнечных лучей.Содержание натуральных ингредиентов: 84%Тип кожи: все типы кожи.Потребности кожи: увлажнение и восстановление сияния, защита от солнца. Объем: 50 мл.;Aqua (Water), Hydrogenated Ethylhexyl Olivate, Hydrogenated Olive Oil Unsaponifiables, Aloe Barbadensis Leaf Juice, Ethylhexyl Methoxycinnamate, Cetearyl Alcohol, Cetyl Palmitate, Sorbitan Palmitate/Oleate, Titanium Dioxide, Silica, Octocrylene, Glycerin, Inulin Lauryl Carbamate, Oryza Sativa Rice Starch, Potassium Cetyl Phosphate, Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine, Butyl Methoxy Dibenzoylmethane, Vp/Eicosene Copolymer, Porphyra Umbilicalis Extract, Olea Europaea (Olive) Fruit Oil, Argania Spinosa (Argan) Kernel Oil, Propanediol, Uapaca Bojeri Leaf Extract, Hydrolyzed Pea, Persea Gratissima (Avocado) Oil, Sodium Hyaluronate Crosspolymer, Yogurt Powder, Ceratonia Siliqua Seed Extract, Tocopheryl Acetate, Niacinamide, Phenoxyethanol, Decylene Glycol, Caprylyl Glycol, Parfum (Fragrance), Allantoin, Xanthan Gum, Sodium Phytate;;;
6115/0;;"Z-18
Антивозрастной увлажняющий крем для кожи вокруг глаз 30 мл
5200393881957";Z-18;0,06;290;5200393881957;0;1 499р.;974р.;; - ;;;С коэнзимом Q10, маслом дерева ши и арганы, гиалуроновой кислотой, витаминами Е и В5. Интенсивно увлажняет и укрепляет нежную кожу вокруг глаз. Уменьшает морщины, тёмные круги и отёчность.Содержание натуральных ингредиентов: 96,3%Тип кожи: все типы кожи.Потребности кожи: антивозрастной уход, восстановление упругости, увлажнение и восстановление сияния, выравнивание тона кожи. Объем: 30 мл.;Aqua (Water), Cetearyl Olivate, Sorbitan Olivate, Isoamyl Laurate, Isoamyl Cocoate, Glycerin, Ammonium Acryloyldimethyltaurate/VP Copolymer, Vitis Vinifera (Grape) Juice Extract, Propanediol, Tocopheryl Acetate, Hexanediol, Argania Spinosa (Argan) Kernel Oil, Plukenetia Volubilis (Inca Inchi) Seed Oil, Olea Europaea (Olive) Fruit Oil, Sophora Japonica Flower Extract, Hydrolyzed Sodium Hyaluronate, Escin, Lecithin, Ubiquinone (Co-Enzyme Q10), Butyrospermum Parkii (Shea) Butter, Phenoxyethanol, Decylene Glycol, Caprylyl Glycol, Sodium Polyacrylate, Parfum (Fragrance), Allantoin, Sodium Phytate;;;
6116/0;;"Z-19
Крем дневной для лица ""Увлажнение и Сияние"" 50 мл
5200393801016";Z-19;0,1;352;5200393801016;0;1 599р.;1 039р.;; - ;;;С алоэ вера, маслом жожоба, провитамином В5 и гиалуроновой кислотой.Крем 24-часового действия активно увлажняет и восстанавливает кожу в течение всего дня.Содержание натуральных ингредиентов: 97%Тип кожи: нормальная, сухая/обезвоженная.Потребности кожи: увлажнение и восстановление сияния. Объем: 50 мл.;Aqua (Water), Aloe Barbadensis Leaf Juice, Cetearyl Alcohol, Glyceryl Stearate, Peg-40 Stearate, Ceteareth-20, Isoamyl Laurate, Isoamyl Cocoate, Olea Europaea (Olive) Fruit Oil, Glycerin, Kappaphycus Alvarezii Extract, Hydrogenated Ethylhexyl Olivate, Hydrogenated Olive Oil Unsaponifiables, Oryza Sativa Rice Starch, Cetearyl Olivate, Sorbitan Olivate, Tocopheryl Acetate, Glyceryl Stearate Citrate, Sodium Hyaluronate Crosspolymer, Potassium PCA, Opuntia Ficus Indica (Prickly Pear) Stem Extract, Biosaccharide Gum-4, Simmondsia Chinensis (Jojoba) Seed Oil, Hydrogenated Olive Oil, Olea Europaea (Olive) Oil Unsaponifiables, Nelumba Nucifera (White Lotus) Flower Water, Honey Extract, Ceratonia Siliqua (Carob) Seed Extract, Phenoxyethanol, Decylene Glycol, Caprylyl Glycol, Sodium Polyacrylate, Panthenol, Allantoin, Parfum (Fragrance), Sodium Phytate, Ethylhexylglycerin;;;
6117/0;;"Z-19A
Омолаживающий укрепляющий дневной крем 50 мл
5200393812500";Z-19A;0,18;318;5200393812500;5;1 699р.;1 104р.;; - ;;;С лифтинг эффектом! Уменьшает морщины, ускоряет процесс регенерации, способствует борьбе со свободными радикалами. Повышает тонус и упругость кожи.Содержание натуральных ингредиентов: 96%Тип кожи: все типы кожи.Потребности кожи: антивозрастной уход, восстановление упругости. Объем: 50 мл.;Aqua (Water), Cetearyl Alcohol, Glyceryl Stearate, Peg-40 Stearate, Ceteareth- 20, Isoamyl Laurate, Isoamyl Cocoate, Hydrogenated Ethylhexyl Olivate, Hydrogenated Olive Oil Unsaponifiables, Oryza Sativa Rice Starch, Glycerin, Olea Europaea (Olive) Fruit Oil, Tocopheryl Acetate, Vitis Vinifera (Grape) Juice Extract, Propanediol, Ornithine, Phospholipids, Glycolipids, Cetearyl Olivate, Sorbitan Olivate, Hydrolyzed Sodium Hyaluronate, Argania Spinosa (Argan) Kernel Oil, Rosa Moschata (Rosehip) Seed Oil, Helichrysum Italicum (Immortelle) Extract, Helianthus Annuus (Sunflower) Seed Oil, Rosmarinus Officinalis (Rosemary) Leaf Extract, Punica Granatum (Pomegranate) Flower Extract, Maltodextrin, Alcohol, Sodium Ascorbyl Phosphate, Punica Granatum (Pomegranate) Seed Extract, Hydrogenated Olive Oil, Olea Europaea (Olive) Oil Unsaponifiables, Phenoxyethanol, Decylene Glycol, Caprylyl Glycol, Sodium Polyacrylate, Parfum (Fragrance), Allantoin, Sodium Phytate, Ethylhexylglycerin;;;
6118/0;;"Z-19O
Матирующий и сужающий поры дневной гель-крем 50 мл
5200393809029";Z-19O;0,1;352;5200393809029;6;1 499р.;974р.;; - ;;;С экстрактами оливковых листьев, розмарина и шалфея.Сужает поры, матирует и обеспечивает глубокое увлажнение кожи. Успокаивает, снижает избыток жирного блеска.Содержание натуральных ингредиентов: 94,4%Тип кожи: жирная/комбинированная.Потребности кожи: выравнивание тона кожи, снятие раздражения. Объем: 50 мл.;Aqua (Water), Isoamyl Laurate, Isoamyl Cocoate, Cetearyl Olivate, Sorbitan Olivate, Glycerin, Fomes Officinalis Extract, Butylene Glycol, Methyl Methacrylate Cross Polymer, Polygonum Cuspidatum Root Extract, Myristyl Alcohol, PCA, Propanediol, Olea Europeaea (Olive) Leaf Extract, Tartaric Acid, Tamarindus Indica Extract, Salvia Officinalis (Sage) Leaf Extract, Rosmarinus Officinalis (Rosemary) Leaf Extract, Hamamelis Virginiana Water, Punica Granatum (Pomegranate) Seed Extract, Sodium Polyacrylate, Nigella Sativa (Black Cumin) Seed Oil, Cucurbita Pepo (Pumpkin) Seed Oil, Phospholipids, Magnesium Aluminium Silicate, Tocopheryl Acetate, Phenoxyethanol, Decylene Glycol, Caprylyl Glycol, Parfum (Fragrance), Allantoin, Sodium Phytate;;;
